cell_id,lat_center,lon_center,count
1002,37.75,-86.25,57
1003,37.75,-85.75,347
1004,37.75,-85.25,106
1005,37.75,-84.75,287
1006,37.75,-84.25,166
1007,37.75,-82.75,125
1008,37.75,-82.25,52
1009,37.75,-81.75,128
1010,37.75,-81.25,526
1011,37.75,-80.75,506
1012,37.75,-80.25,383
1013,37.75,-79.75,688
1014,37.75,-79.25,810
1015,37.75,-78.75,363
1016,37.75,-78.25,265
1017,37.75,-77.75,1211
1018,37.75,-77.25,898
1019,37.75,-76.75,410
1020,37.75,-76.25,116
1021,37.75,-75.75,147
1022,38.25,-123.25,125
1023,38.25,-122.75,510
1024,38.25,-122.25,563
1025,38.25,-121.75,725
1026,38.25,-121.25,3176
1027,38.25,-120.75,1617
1028,38.25,-120.25,838
1029,38.25,-119.75,20
1030,38.25,-119.25,99
1031,38.25,-118.25,59
1032,38.25,-117.75,29
1033,38.25,-117.25,45
1034,38.25,-113.25,315
1035,38.25,-112.75,353
1036,38.25,-112.25,686
1037,38.25,-111.75,245
1038,38.25,-111.25,171
1039,38.25,-110.75,206
1040,38.25,-109.75,136
1041,38.25,-109.25,247
1042,38.25,-107.75,170
1043,38.25,-107.25,44
1044,38.25,-106.25,29
1045,38.25,-105.75,328
1046,38.25,-105.25,560
1047,38.25,-104.75,259
1048,38.25,-104.25,96
1049,38.25,-103.75,116
1050,38.25,-103.25,32
1051,38.25,-102.75,230
1052,38.25,-102.25,55
1053,38.25,-100.75,54
1054,38.25,-100.25,31
1055,38.25,-99.75,101
